Roadside Inspection Violations All Violations,,,,,,,,
,Violation Code,Type,Violation Description,# of Inspections,# of Violations,% of Total Violations,# of OOS Violations,%OOS Percent
1187,385.415AHMRITHM,HazMat,HM (Administrative) - Failing to provide required information when transporting hazardous materials requiring a hazardous materials safety permit.,19,21,0%,0,0%
1188,177.801HMHCF,HazMat,HM (Highway Carriage) - Driver accepted/transported forbidden HM in accordance with this Subchapter. Explain:,18,21,0%,18,0%
1189,172.334BHMM,HazMat,HM (Markings) - Improper display of ID number on package/container/transport vehicle.,21,21,0%,0,0%
1190,172.519B1HMPMC,HazMat,"HM (Placarding) - Except as provided in 172.332, each placard must be as described in this subpart, and except for size and color, the printing, inner border and symbol must be as shown in Ã‚Â§Ã‚Â§172.521 through 172.560 of this subpart, as appropriate.",21,21,0%,0,0%
1191,395.24C1IIELDDLD,Driver,"HOS (ELD) - Driver failing to manually input location description, when prompted by the ELD.",19,21,0%,1,0%
1192,393.45AHBL,Vehicle,Hydraulic Brake - leaking on application,21,21,0%,19,0%
1193,385.111AOOSO,Other,OOS Order - Motor carrier operating a CMV while an existing out-of-service order is in effect: MX Carrier - UNSAT/UNFIT.,21,21,0%,17,0%
1194,393.86A4RIG,Vehicle,"Rear Impact Guards - Trailers and semitrailers manufactured on or after January 26, 1998 improper location.",21,21,0%,0,0%
1195,393.48ABRMMC,Vehicle,Brakes - Rotor (disc) metal-to-metal contact,13,20,0%,7,0%
1196,387.31A,Other,Carrier - Motor carrier permit/require a driver to operate a CMV transporting passengers without minimum levels of financial responsibility as required in 49 CFR ,20,20,0%,0,0%
1197,393.70CCDTEW,Vehicle,"Coupling - Full Trailer, drawbar eye worn more than 20%.",20,20,0%,18,0%
1198,393.70C,Vehicle,Defective coupling devices for full trailer,20,20,0%,16,0%
1199,395.3B2HOSPRNC,Driver,Driving after 70 hours on duty in a 8 day period at time of inspection. (Property carrying vehicle) - Nominal Violation,20,20,0%,17,0%
1200,172.406FHML,HazMat,HM (Labeling) - Failing to clearly display label as required. ,20,20,0%,0,0%
1201,172.514AHMPS,HazMat,HM (Placarding) - Failing to affix placards to a bulk package when required. ,20,20,0%,1,0%
1202,395.8F3HOSM,Driver,"HOS (Manner) - Driver's record of duty status failed to record the month, day and year for the beginning of each 24 hour period. Date: ",20,20,0%,0,0%
1203,393.40BBPR,Vehicle,Hydraulic No Pedal Reserve on Hydraulic Brakes,20,20,0%,20,0%
1204,398.5MW,Vehicle,Migrant Workers - Failed to maintain vehicle for safe operation of this part.,16,20,0%,0,0%
1205,393.76GSB,Vehicle,"Sleeper Berth - Inadequate protection from exhaust fumes, fuel leaks and/or exhaust heat.",20,20,0%,0,0%
1206,393.70B1ICDFWCMT20,Vehicle,Coupling - 20% or more of the fifth wheel mounting angle iron cracked/broken.,18,19,0%,17,0%
1207,393.70B2CDOHNC,Vehicle,Coupling - Operating handle is not closed/locked.,19,19,0%,18,0%
1208,392.2DUTIS,Driver,Driver - U-turn on interstate.,19,19,0%,0,0%
1209,172.401AHML,HazMat,HM (Labeling) - Affixing label to a non-HM package/container.,14,19,0%,0,0%
1210,172.332CHMM,HazMat,HM (Markings) - Failing to display identification numbers on placard are required.,17,19,0%,0,0%
1211,178.3458A5HMP,HazMat,HM (Packaging) - DOT 406/407/412 minimum road clearance. ,19,19,0%,0,0%
1212,178.3406HMP,HazMat,HM (Packaging) - MC 306/307/312 supports and anchoring requirements. ,19,19,0%,0,0%
1213,395.30B4ELDDFCE,Driver,HOS (ELD) - Driver failing to recertify the record after edits are made.,15,19,0%,0,0%
1214,390.21TG3,Other,"Intermodal Equipment Provider - Failing to mark/identify equipment with ""USDOT"" as required.",19,19,0%,0,0%
1215,172.332B,HazMat,Orange panel does not meet specifications,19,19,0%,0,0%
1216,392.10A4RRC,Driver,Railroad Crossing - Driver failed to stop at a railroad grade crossing - Hazmat Cargo Tank.,18,19,0%,0,0%
1217,393.209A,Vehicle,Steering wheel not secured/broken,19,19,0%,18,0%
1218,393.207ES,Vehicle,Suspension - Broken torsion bar. ,19,19,0%,17,0%
1219,172.203A,HazMat,"""DOT-SP"" or special permit number not entered on shipping paper",18,18,0%,0,0%
1220,393.70ACDIT,Vehicle,Coupling - Defective causing improper tracking.,18,18,0%,0,0%
1221,393.70DCDTSDIR,Vehicle,"Coupling - Full Trailer, safety devices with improper repairs.",18,18,0%,18,0%
1222,178.3458A5,HazMat,DOT406/407/412 minimum road clearance,18,18,0%,0,0%
1223,396.3A1DLDSDST,Vehicle,Driveline/Driveshaft - Any shift tube with obvious twist.,18,18,0%,18,0%
1224,171.2B,HazMat,Failure to comply with the requirements for HM transportation (including labeling and handling) ,18,18,0%,0,0%
1225,172.301A3HMM,HazMat,HM (Markings) - Failing to display ID number on transport vehicle with large quantity of single HM as required. ,18,18,0%,3,0%
1226,395.8F2HOSMHW,Driver,HOS (Manner) - Driver's record of duty status entries are not legible or in the drivers own handwriting. Date: ,18,18,0%,0,0%
1227,393.83D,Vehicle,Improper exhaust - Bus (Powered by other than Gasoline),18,18,0%,10,0%
1228,393.110D,Vehicle,Large or odd-shaped cargo not adequately secured,17,18,0%,11,0%
1229,393.9BLPLOWR,Vehicle,Lighting - Projecting load - Any lamp on projecting load obscured when required to be on.,18,18,0%,16,0%
1230,393.120DCDL,Vehicle,Metal Coils - Improper securement of coils transported with eyes lengthwise in/on a vehicle with anchor points,18,18,0%,18,0%
1231,386.72B4OOSOMC,Other,OOS Order - Motor carrier operating a CMV while an existing out-of-service order is in effect: Imminent Hazard - Motor Carrier.,18,18,0%,17,0%
1232,393.47D1BPTADSA116,Vehicle,Air Disc Brake - Pad thickness (air disc brakes less than 1/16) on a steering axle.,15,17,0%,14,0%
1233,393.126C2,Vehicle,All corners of loaded intermodal container not secured when transported on vehicle other than container chassis vehicle,17,17,0%,15,0%
1234,393.47GBRW,Vehicle,Brake - A rotor surface is worn to or through center vents.,15,17,0%,17,0%
1235,393.70B1IICDBUC,Vehicle,Coupling - Bolted upper coupler has less than the required number of bolts.,14,17,0%,15,0%
1236,393.77,Vehicle,Defective and/or prohibited heaters,17,17,0%,0,0%
1237,393.48B1,Vehicle,Defective brake limiting device,9,17,0%,0,0%
1238,177.804B3,Driver,Failure to comply with 49 CFR Section 392.82 Using a Handheld Mobile Phone While Operating a CMV when transporting select agents or toxins or HM requiring placard,17,17,0%,0,0%
1239,385.403HMAMC,HazMat,HM (Administrative) - Motor Carrier failing to obtain an HM safety permit as required.,15,17,0%,0,0%
1240,178.34514CHMP,HazMat,HM (Packaging) - DOT 406/407/412 specification plate marking requirements. ,17,17,0%,0,0%
1241,178.33717AHMP,HazMat,HM (Packaging) - MC 331 general marking requirements. ,16,17,0%,0,0%
1242,172.504BHMPS,HazMat,HM (Placarding) - Improper placarding with a DANGEROUS placard(s).,17,17,0%,0,0%
1243,392.2DH,Driver,Headlamps - Failing to dim when required,17,17,0%,0,0%
1244,393.45DBHS,Vehicle,Hydraulic Seeping Hydraulic Brake Hose,17,17,0%,16,0%
1245,393.42A,Vehicle,No Brakes On All Wheels As Required,12,17,0%,6,0%
1246,172.302A,HazMat,No ID# on a Bulk Packaging,17,17,0%,8,0%
1247,383.93B3,Driver,No tank vehicle endorsement on CDL,17,17,0%,16,0%
1248,383.23A2H,Driver,Operating a CMV without a valid CDL: No hazardous materials / dangerous goods endorsement,17,17,0%,17,0%
1249,393.86A3,Vehicle,"Rear Impact Guard having improper height - trailer manufactured on or after January 26, 1998",17,17,0%,0,0%
1250,393.28BMG,Vehicle,Buses - Electrical cable missing/damaged protective grommets.,16,16,0%,15,0%
1251,390.6COERCION,Other,"Carrier - A motor carrier or its agents, officers, or representatives, may not coerce a driver of a commercial motor vehicle to operate such vehicle in violation.",16,16,0%,0,0%
1252,393.70CCDTDM,Vehicle,"Coupling - Full Trailer, more than 1/4 inch movement between sub frame and drawbar.",16,16,0%,16,0%
1253,178.3458D,HazMat,DOT406/407/412 rear end protection,16,16,0%,0,0%
1254,172.602B1HMER,HazMat,HM (Emergency Response) - Emergency response information not printed legibly in English.,16,16,0%,0,0%
1255,172.204AHMSPS,HazMat,HM (Shipping Papers) - Shipper HM shipping paper does not include shipper certification as required. ,16,16,0%,0,0%
1256,171.2CHMGRMC,HazMat,HM (general requirements) - failing to comply with hazardous materials regulations when offering hazardous materials for transportation,16,16,0%,1,0%
1257,386.83A1OOSOPC,Other,OOS Order - Motor carrier operating a CMV while an existing out-of-service order is in effect: Failure to pay fine - Private Carrier.,16,16,0%,16,0%
1258,385.111C1OOSO,Other,OOS Order - Motor carrier operating a CMV while an existing out-of-service order is in effect: MX Carrier - Suspended Operating Authority for UNSAT Rating or Fail,16,16,0%,14,0%
1259,397.13,Driver,Smoking within 25 ft of HM vehicle,16,16,0%,0,0%
1260,393.75A2TFBB6,Vehicle,"Tires - Front, Any tire with observable bumps, bulge or knots.",16,16,0%,3,0%
1261,396.3A1TP,Vehicle,Tires - Use of Tire Plug or Cord,16,16,0%,13,0%
1262,149.01D3,Other,49 USC 14901(d)(3) Failure to Register As A Household Goods Broker Or Carrier,15,15,0%,0,0%
1263,393.45B3B,Vehicle,Air Brake - Hose/tubing contacting exhaust system.,15,15,0%,0,0%
1264,392.201BIMC,Other,Carrier - Motor carrier failing to file Unified Registration System online application with FMCSA.,15,15,0%,0,0%
1265,393.70B1ICDCWLT20,Vehicle,Coupling - 20% or less of the total original welds are cracked on either side of the vehicle.,15,15,0%,0,0%
1266,393.70CCDTDC,Vehicle,"Coupling - Full Trailer, drawbar cracked.",15,15,0%,11,0%
1267,393.71GCDIMT,Vehicle,Coupling - Improper means of towing.,14,15,0%,1,0%
1268,395.8H01,Driver,Driver failed to have a continuous line between appropriate time marker(s).,15,15,0%,0,0%
1269,397.67BHMDP,HazMat,"HM (Driving & Parking) - Operate an HM motor vehicle, reqruied to be placarded or marked in violation of routing (Non RAM). ",15,15,0%,0,0%
1270,172.203AHMSPS,HazMat,HM (Shipping Papers) - Shipper HM shipping paper does not list special permit number as required.,14,15,0%,0,0%
1271,177.823AHMRAMTVM,HazMat,HM RAM (Transport Vehicle Markings) - Any of the required ID numbers are missing for each material. ,14,15,0%,1,0%
1272,390.21G2,Other,IEP offering/interchanging intermodal equipment not identified as required.,15,15,0%,0,0%
1273,393.102A,Vehicle,Improper securement system (tiedown assemblies),15,15,0%,4,0%
1274,393.17B2LDRR,Vehicle,"Lighting - Driveaway, reflex reflector(s) missing on rear of rearmost towed vehicle.",15,15,0%,0,0%
1275,393.71KSML,Vehicle,"Lower Saddlemount - Missing Fasteners, loose, cracked, or excessive movement",14,15,0%,3,0%
1276,172.402A,HazMat,No label for subsidiary hazard,15,15,0%,0,0%
1277,172.401,HazMat,Prohibited labeling,14,15,0%,0,0%
1278,392.2SAFCH,Vehicle,"State / Local Laws - Missing, Damaged, or Ineffective safety chains when required.",14,15,0%,2,0%
1279,396.3A1STFAC,Vehicle,Steering - Cracked front axle beam.,14,15,0%,12,0%
1280,393.75G1T,Vehicle,Tires - Manufactured homes exceeding tire load limit.,14,15,0%,15,0%
1281,393.70B1IIFWUC,Vehicle,"Upper coupler assembly parent metal cracked, extending more than 20 percent of the distance across the metal in the direction of the crack.",13,15,0%,11,0%
1282,396.3A1AABRC,Vehicle,A sliding suspension attachment member (undercarriage body rail) is cracked completely through along a 4 foot (1.2 m) continuous length. ,13,14,0%,12,0%
1283,396.3A1BACM,Vehicle,Air Brake - Air compressor mounting brackets/braces/adapters cracked/broken.,13,14,0%,12,0%
1284,396.3A1BAR,Vehicle,Air Brake - Leaking air tank.,12,14,0%,0,0%
1285,392.7B,Vehicle,Driver failing to conduct a pre-trip inspection of Intermodal Equipment,14,14,0%,0,0%
1286,396.3A1FWMOV,Vehicle,Fifth wheel- Movement exceeds 1/2 inch,14,14,0%,13,0%
1287,172.407DHML,HazMat,HM (Labeling) - Failing to meet label color requirements.,13,14,0%,0,0%
1288,172.304A1HMM,HazMat,HM (Markings) - Displaying an HM package with marking(s) not durable/in English/printed on/affixed to the package.,14,14,0%,0,0%
1289,395.28CELDAE,Driver,HOS (ELD) - Driver failing to annotate the driver's ELD record to explain the applicable exemption. ,12,14,0%,0,0%
1290,396.3A1HS,Vehicle,HUB smoking,14,14,0%,13,0%
1291,393.62C,Vehicle,No or Defective bus emergency exit windows,14,14,0%,12,0%
1292,383.23A2R,Driver,Operating a CMV without a valid CDL:  Violation of air brake restriction,14,14,0%,14,0%
1293,393.132B,Vehicle,Prohibited use of synthetic webbing.,14,14,0%,13,0%
1294,393.86A4,Vehicle,Rear Impact Guard not within 12 in of rear of vehicle at 22 in above the ground,14,14,0%,0,0%
1295,399.207,Vehicle,Vehicle access requirements violations,14,14,0%,0,0%
1296,393.42ABMAW,Vehicle,Brake - All wheels not equipped with brakes as required.,11,13,0%,7,0%
1297,173.24F1,HazMat,Closures for packagings must not be open or leaking,13,13,0%,12,0%
1298,393.70B1ICDPBCMT20,Vehicle,Coupling - Mounting plate or pivot bracket is cracked more than 20% of the distance across the metal in the direction of the crack.,13,13,0%,13,0%
1299,393.118BCDL,Vehicle,Dressed Lumber - Improper positioning of bundles.,13,13,0%,13,0%
1300,395.8F03,Driver,Driver failed to record date for each 24 hour period.,13,13,0%,0,0%
1301,395.5A1HOSPVNP,Driver,Driving after 10 hour driving limit. (Passenger carrying vehicle) - Nominal Violation,11,13,0%,0,0%
1302,172.406A1HML,HazMat,HM (Labeling) - Failing to display label as required. ,13,13,0%,1,0%
1303,172.301BHMMS,HazMat,HM (Markings) - Offering a non-bulk HM package with no technical name as required. ,13,13,0%,0,0%
1304,178.3461HMP,HazMat,HM (Packaging) - DOT 406 general requirements. ,12,13,0%,0,0%
1305,393.45AHJS,Vehicle,Hydraulic Brake tubing improperly joined or spliced ,13,13,0%,12,0%
1306,178.704E,HazMat,IBC bottom discharge valve protection,13,13,0%,0,0%
1307,393.71,Vehicle,Improper coupling driveaway/towaway operation,13,13,0%,8,0%
1308,387.31B3II,Other,No insurance ID card (MCS-90B) - Mexican Passenger Carrier,13,13,0%,1,0%
1309,385.13A2,Other,Operating CMV after effective date of unsat order (No placards - HM),13,13,0%,13,0%
1310,383.23A2T,Driver,Operating a CMV without a valid CDL: No Tank Vehicle endorsement,13,13,0%,13,0%
1311,172.303A,HazMat,Prohibited HM marking on package,12,13,0%,3,0%
1312,393.75ETFRT6,Vehicle,"Tires - Front, Any regrooved tire. ",13,13,0%,0,0%
1313,396.3A1BA,Vehicle,Bolt-type or DD-3 -type Brake Out of Adjustment,11,12,0%,0,0%
1314,393.42ABMTSA,Vehicle,Brake - Missing on a trailer steering axle.,12,12,0%,12,0%
1315,393.91BASIW,Vehicle,Buses - Equipped with aisle seats not designed and installed to automatically fold and leave a clear aisle when they are unoccupied.,12,12,0%,12,0%
1316,396.3A1DLDSYEC,Vehicle,Driveline/Driveshaft - Any visible crack in a yoke end.,12,12,0%,12,0%
1317,395.8A2II,Driver,Driver failed to submit their record of duty status within 13 days.,12,12,0%,1,0%
1318,395.15A2,Driver,Driver failed to use automatic on-board recording device when required by the motor carrier.,12,12,0%,2,0%
1319,390.21F,Other,Failure to properly mark a leased or interchanged passenger-carrying commercial motor vehicle,12,12,0%,0,0%
1320,393.65CF,Vehicle,Fuel - Tank not secured.,12,12,0%,10,0%
1321,173.315NHMGP,HazMat,HM (General Packaging) - Failing to comply with emergency discharge control requirements for cargo tank motor vehicle in liquefied compressed gas service. ,12,12,0%,0,0%
1322,173.301HHMGP,HazMat,HM (General Packaging) - Failing to meet cylinder valve protection as required. ,11,12,0%,0,0%
1323,171.2EHMGRMC,HazMat,"HM (General Requirements) - Accepting A Hazardous Material For Transportation Which Is Not Properly Classed, Described, Packaged, Marked, Labeled, And In Conditio",12,12,0%,1,0%
1324,171.2AHMGRMC,HazMat,HM (General Requirements) - Motor carrier permit/require a driver to operate a motor vehicle while failing to comply with general HM requirements per regulation n,12,12,0%,0,0%
1325,172.400A2HML,HazMat,"HM (Labeling) - Bulk, other than cargo tank, portable tank, or tank car, package not labeled as required. ",7,12,0%,0,0%
1326,172.516DHMPMC,HazMat,HM (Placarding) - Failure to mount placard holder in accordance with Appendix C of this Part.,10,12,0%,0,0%
1327,172.203C1HMSPS,HazMat,HM (Shipping Papers) - Shipper HM shipping paper does not list hazardous substance as required. ,10,12,0%,0,0%
